Предмет;Код;1;2;3;4;5;6;7;8;9;10_EMN;10_OGN;11_EMN;11_OGN
Алгебра;ALG;X;X;X;X;X;X;;;;;;;
Английский язык;ENL;;;;/;/;/;/;/;/;/;/;/;/
Биология;BIO;X;X;X;X;X;X;;;;;;;
Всемирная История;WHS;X;X;X;X;WHS_05_UNI_KAZ_2017_Тулебаев Т._0;WHS_06_UNI_KAZ_2018_Айтбай Р._0,WHS_06_UNI_KAZ_2018_Кокебаева Г._0;WHS_07_UNI_KAZ_2018_Кокебаева Г._0;WHS_08_UNI_KAZ_2024_Алдабек Н._0;;;WHS_10_OGN_KAZ_2019_Каирбекова Р.Р._2;WHS_11_EMN_KAZ_2019_Қайырбекова Р.Р._0;WHS_11_OGN_KAZ_2019_Қайырбекова Р.Р._2
География;GEO;X;X;X;X;X;X;GEO_07_UNI_KAZ_2023_Каратабанов Р._2;GEO_08_UNI_KAZ_2023_Каратабанов Р._2;GEO_09_UNI_KAZ_2024_Каратабанов Р._0,GEO_09_UNI_KAZ_2024_Толыбекова Ш.Т._2,GEO_09_UNI_KAZ_2024_Усиков В.В._2;GEO_10_EMN_KAZ_2019_Телепбекова С.К._2;GEO_10_OGN_KAZ_2019_Каймулдинова К._0;;
Естествознание;EST;;;;EST_04_UNI_KAZ_2019_Бигазина П.К._2;EST_05_UNI_KAZ_2023_Верховцева Л.А._2;EST_06_UNI_KAZ_2023_Қаратабанов Р._2;X;X;X;X;X;X;X
История Казахстана;KHS;X;X;X;X;KHS_05_UNI_KAZ_2017_Кумеков Б._0,KHS_05_UNI_KAZ_2017_Омарбеков Т._0;KHS_06_UNI_KAZ_2018_Бакина Н._0,KHS_06_UNI_KAZ_2018_Омарбеков Т._0;KHS_07_UNI_KAZ_2017_Бакина Н._0;KHS_08_UNI_KAZ_2018_Омарбеков Т._0,KHS_08_UNI_KAZ_2018_Кабульдинов З._0;KHS_09_UNI_KAZ_2024_Аяган Б.Г._0,KHS_09_UNI_KAZ_2024_Өскембаев Қ._0;KHS_10_UNI_KAZ_2019_Жандосова З.А._0;KHS_10_UNI_KAZ_2019_Жандосова З.А._0;KHS_11_UNI_KAZ_2020_Кабульдинов З._2;KHS_11_UNI_KAZ_2020_Кабульдинов З._2
Казахская литература;KLT;;;;KLT_04_UNI_KAZ_2023_Муфтибекова З._3;KLT_05_UNI_KAZ_2022_Зайкенова Р._0;KLT_06_UNI_KAZ_2022_Зайкенова Р._0;KLT_07_UNI_KAZ_2022_Зайкенова Р._0;KLT_08_UNI_KAZ_2022_Зайкенова Р._0;KLT_09_UNI_KAZ_2022_Зайкенова Р._0;KLT_10_EMN_KAZ_2019_Орда Г._0;KLT_10_OGN_KAZ_2019_Ақтанова А.С._0,KLT_10_OGN_KAZ_2019_Қасқабасов С._0,KLT_10_OGN_KAZ_2019_Орда Г._0;KLT_11_EMN_KAZ_2020_Ақтанова А.С._0;KLT_11_OGN_KAZ_2020_Ақтанова А.С._2,KLT_11_OGN_KAZ_2020_Әлмұханова Р._0
Казахский язык;KZL;;;;;;;;;;;;;
Казахский язык и литература;KLL;X;X;X;X;;;;;;;;;
