Предмет;Код;1;2;3;4;5;6;7;8;9;10_EMN;10_OGN;11_EMN;11_OGN
Алгебра;ALG;X;X;X;X;X;X;;;;;;;
Английский язык;ENL;;;;/;/;/;/;/;/;/;/;/;/
Биология;BIO;X;X;X;X;X;X;;;;;;;
Всемирная История;WHS;X;X;X;X;WHS_05_UNI_RUS_2017_Тулебаев Т._0,WHS_05_UNI_RUS_2017_Букаева Б._0;WHS_06_UNI_RUS_2018_Айтбай Р._0,WHS_06_UNI_RUS_2018_Кокебаева Г._0;WHS_07_UNI_RUS_2017_Айтбай Р._0;WHS_08_UNI_RUS_2024_Алдабек Н._0;WHS_09_UNI_RUS_2019_Алдабек Н._2;WHS_10_EMN_RUS_2019_Каирбекова Р.Р._2;;WHS_11_EMN_RUS_2019_Каирбекова Р.Р._0;WHS_11_OGN_RUS_2019_Каирбекова Р.Р._2
География;GEO;X;X;X;X;X;X;GEO_07_UNI_RUS_2023_Каратабанов Р._2;GEO_08_UNI_RUS_2023_Каратабанов Р._2;GEO_09_UNI_RUS_2024_Каратабанов Р._0,GEO_09_UNI_RUS_2024_Толыбекова Ш._2,GEO_09_UNI_RUS_2024_Усиков В.В._2;GEO_10_EMN_RUS_2019_Каймулдинова К._0,GEO_10_EMN_RUS_2019_Тулепбекова С._2;GEO_10_OGN_RUS_2019_Каймулдинова К._0;GEO_11_EMN_RUS_2019_Каймулдинова К._0;
Естествознание;EST;;;;EST_04_UNI_RUS_2019_Бигазина П.К._2;EST_05_UNI_RUS_2023_Верховцева Л.А._2;EST_06_UNI_RUS_2023_Верховцева Л.А._2;X;X;X;X;X;X;X
История Казахстана;KHS;X;X;X;X;KHS_05_UNI_RUS_2017_Кумеков Б._0;KHS_06_UNI_RUS_2018_Омарбеков Т._0,KHS_06_UNI_RUS_2018_Бакина Н._0;KHS_07_UNI_RUS_2017_Бакина Н._0;KHS_08_UNI_RUS_2018_Омарбеков Т._0,KHS_08_UNI_RUS_2018_Кабульдинов З._0;KHS_09_UNI_RUS_2024_Аяган Б.Г._0,KHS_09_UNI_RUS_2024_Ускембаев К._0;KHS_10_UNI_RUS_2020_Жандосова З.А._0;KHS_10_UNI_RUS_2020_Жандосова З.А._0;KHS_11_UNI_RUS_2020_Кабульдинов З._2;KHS_11_UNI_RUS_2020_Кабульдинов З._2
Казахская литература;KLT;;;;X;X;X;X;X;X;X;X;X;X
Казахский язык;KZL;;;;;X;;X;X;X;X;X;;
Казахский язык и литература;KLL;X;X;X;X;;;;;;;;;
Математика;MAT;;;;;;;X;X;X;X;X;X;X
Основы права;LAW;X;X;X;X;X;X;X;X;LAW_09_UNI_RUS_2019_Ибраева А.С._0;LAW_10_EMN_RUS_2019_Ибраева А.С._0;LAW_10_OGN_RUS_2019_Ибраева А.С._2;LAW_11_EMN_RUS_2019_Ибраева А.С._0;LAW_11_OGN_RUS_2019_Ибраева А.С._2
Основы предпринимательства и бизнеса;BIZ;X;X;X;X;X;X;X;X;X;BIZ_10_UNI_RUS_2019_Аганина К.Ж._0,BIZ_10_UNI_RUS_2019_Дүйсенханов Е._2;BIZ_10_UNI_RUS_2019_Аганина К.Ж._0,BIZ_10_UNI_RUS_2019_Дүйсенханов Е._2;BIZ_11_UNI_RUS_2019_Дүйсенханов Е._2;BIZ_11_UNI_RUS_2019_Дүйсенханов Е._2
Познание мира;POZ;;;;POZ_04_UNI_RUS_2019_Турмашева Б._0;X;X;X;X;X;X;X;X;X
Русская литература;RLT;X;;;;;;RLT_07_UNI_RUS_2018_Локтионова Н.П._0;RLT_08_UNI_RUS_2018_Шашкина Г.З._2;;;RLT_10_OGN_RUS_2019_Лукпанова Г._0;;RLT_11_OGN_RUS_2020_Абишева С.Д._0+RLH_11_OGN_RUS_2020_Абишева С.Д._0
Русский язык;RUL;;;;;;;;;;;;;
Русский язык и литература;RLL;X;X;X;X;;;;;;;;;
Светскость и основы религиоведения;REL;X;X;X;X;X;X;X;X;REL_09_UNI_RUS_2023_Кенжетаев Д.Т._0;X;X;X;X
Уйгурская литература;ULT;X;X;X;X;X;X;X;X;X;X;X;X;X
Уйгурский язык;UGL;X;X;X;X;X;X;X;X;X;X;X;X;X
Физика;PYS;X;X;X;X;X;X;;;;;;;
Химия;CHM;X;X;X;X;X;X;;;;;;;
Информатика;INF;—;—;—;—;—;—;—;—;—;—;—;—;—
Краеведение;KRA;—;—;—;—;—;—;—;—;—;—;—;—;—
Глобальные компетенции;GLO;—;—;—;—;—;—;—;—;—;—;—;—;—
Начальная военная и технологическая подготовка;NVP;—;—;—;—;—;—;—;—;—;—;—;—;—
Графика и проектирование;GRA;—;—;—;—;—;—;—;—;—;—;—;—;—
Изобразительное искусство;IZO;—;—;—;—;—;—;—;—;—;—;—;—;—
Музыка;MUZ;—;—;—;—;—;—;—;—;—;—;—;—;—
Обучение грамоте;GRM;—;—;—;—;—;—;—;—;—;—;—;—;—
Самопознание;SAM;—;—;—;—;—;—;—;—;—;—;—;—;—
Трудовое обучение;TRU;—;—;—;—;—;—;—;—;—;—;—;—;—
Художественный труд;HUD;—;—;—;—;—;—;—;—;—;—;—;—;—
Физическая культура;ZZZ;—;—;—;—;—;—;—;—;—;—;—;—;—
