№;Название файла (локально);File ID в векторном хранилище
1;EST_04_UNI_KAZ_2019_Бигазина П.К._1.pdf;file-GZ2VPgumV5fQdZX2DfAy7w
2;EST_04_UNI_KAZ_2019_Бигазина П.К._2.pdf;file-28HZXyG7HZccafMyFvN5kT
3;EST_04_UNI_RUS_2019_Бигазина П.К._1.pdf;file-9hHwYC1oXnLogZ6ZC6x8ML
4;EST_04_UNI_RUS_2019_Бигазина П.К._2.pdf;file-WfsibxNbS4rncyZ6a51nzp
5;KLT_04_UNI_KAZ_2023_Муфтибекова З._1.pdf;file-9rSckiqXBx9ij48Ad2Tisi
6;KLT_04_UNI_KAZ_2023_Муфтибекова З._2.pdf;file-9a1v7G4DUMEwn6sEh46UZL
7;KLT_04_UNI_KAZ_2023_Муфтибекова З._3.pdf;file-AasCiSx2PkNJakqM9oDa6n
8;POZ_04_UNI_KAZ_2019_Турмашева Б._0.pdf;file-N8xWB2khTZecPj8MBzkGMj
9;POZ_04_UNI_RUS_2019_Турмашева Б._0.pdf;file-Bmd6suseKeK6755MTvYDQN
10;RLT_04_UNI_KAZ_2023_Регель Н.В._1.pdf;file-QZ9TzZ776rzjqxgCSPM4Mj
11;RLT_04_UNI_KAZ_2023_Регель Н.В._2.pdf;file-1r3DYLYWEnzX2PNHaGoWjP
12;RLT_04_UNI_KAZ_2023_Регель Н.В._3.pdf;file-VyVPbsQc9ikARz3uMAMmEL
13;RLT_04_UNI_KAZ_2023_Регель Н.В._4.pdf;file-EPfzRCA2zmSpa7CX8H6igr
14;EST_05_UNI_KAZ_2023_Верховцева Л.А._1.pdf;file-HhCwgmbAahhKmw1odncCN7
15;EST_05_UNI_KAZ_2023_Верховцева Л.А._2.pdf;file-UsYzCNJv4XmvNSANB3wzsk
16;EST_05_UNI_RUS_2023_Верховцева Л.А._1.pdf;file-38jAxLjqgHveCUBAyhhgme
17;EST_05_UNI_RUS_2023_Верховцева Л.А._2.pdf;file-Dr8PnPfAb5uKMVF8xcabhf
18;KHS_05_UNI_KAZ_2017_Кумеков Б._0.pdf;file-TTFRGRv4mU4YuDyeNjH7ur
19;KHS_05_UNI_KAZ_2017_Омарбеков Т._0.pdf;file-5DAPSXzEYz3GiVNshdAu5H
20;KHS_05_UNI_RUS_2017_Кумеков Б._0.pdf;file-3vEeR6z4mbnE32CTq7XC59
21;KLT_05_UNI_KAZ_2022_Зайкенова Р._0.pdf;file-4AKDKLbGhQjkixB3WHyuZg
22;RLT_05_UNI_KAZ_2023_Бодрова Е._1.pdf;file-STMZ15hWzeTgYWnhBeQQqt
23;RLT_05_UNI_KAZ_2023_Бодрова Е._2.pdf;file-GqyAGwHsaf3M6NKAihAVNK
24;WHS_05_UNI_KAZ_2017_Тулебаев Т._0.pdf;file-GxsLsSM7sSQTBhZJ57QEqJ
25;WHS_05_UNI_RUS_2017_Букаева Б._0.pdf;file-9DBTDTNY7zcxDExNMFyPCL
26;WHS_05_UNI_RUS_2017_Тулебаев Т._0.pdf;file-5TvUuQnyxys7seRXZbhFrf
27;EST_06_UNI_KAZ_2023_Қаратабанов Р._1.pdf;file-DZ7iesweG747YbCGsN4x8u
28;EST_06_UNI_KAZ_2023_Қаратабанов Р._2.pdf;file-5qavjFK2HFsL5VswFL1HYH
29;EST_06_UNI_RUS_2023_Верховцева Л.А._1.pdf;file-ChDqFoHqKVDTEqfXbvpXK9
30;EST_06_UNI_RUS_2023_Верховцева Л.А._2.pdf;file-5cLrW5Lv5JrZPfaS2pq3DD
31;KHS_06_UNI_KAZ_2018_Бакина Н._0.pdf;file-P7CTPJe41HMSqBZmyxfYqp
32;KHS_06_UNI_KAZ_2018_Омарбеков Т._0.pdf;file-EsX1m6SM5EfhHgjJ5vdJzY
33;KHS_06_UNI_RUS_2018_Бакина Н._0.pdf;file-KHkXLLVarrs6L9mkBntAB9
34;KHS_06_UNI_RUS_2018_Омарбеков Т._0.pdf;file-BsNgqBTRo7z1BPsnggvt4z
35;KLT_06_UNI_KAZ_2022_Зайкенова Р._0.pdf;file-NBGpjJQWFXGHz37KqZmDUY
